Totemnaam;1e keuze;2e keuze;3e keuze
Boxer;Wolven;Jongverkenners;Bevers
Capra ;Welpen;Wolven;Bevers
Dryas;Wolven;Bevers;Bevers
Jaguarundi;Jongverkenners;Wolven;Bevers
kraanvogel;Seniors;Jongverkenners;Bevers
Mangoest;Jongverkenners;Wolven;Bevers
Chimpansee ;Jongverkenners;Wolven;Jongverkenners
Distelvink ;Seniors;Verkenners;Jongverkenners
Eekhoorn de boss ;Bevers;Wolven;Jongverkenners
Fret;Welpen;Wolven;Jongverkenners
Groenling;Seniors;Verkenners;Jongverkenners
Jabiroe;Wolven;Welpen;Jongverkenners
Lama;Welpen;Bevers;Jongverkenners
Neusbeer;EL;Seniors;Jongverkenners
Schrijverken;Verkenners;Wolven;Jongverkenners
Steppelemming;EL;Wolven;Jongverkenners
Strandloper;Welpen;Wolven;Jongverkenners
Vini;Bevers;Wolven;Jongverkenners
Berner Sennen;Jongverkenners;Verkenners;Seniors
Gibbon;Jongverkenners;Wolven;Seniors
Slechtvalk;Verkenners;Jongverkenners;Seniors
Baviaan;Stam;Stam;Stam
Flamingo;Jongverkenners;Wolven;Stam
Forel;Stam;Stam;Stam
Guitige Bever;Stam;Stam;Stam
Hazewind;Stam;Stam;Stam
Kyang;Seniors;Stam;Stam
Mondige Okapi;Stam;Stam;Stam
Orka;Stam;Stam;Stam
Parkiet;Stam;Stam;Stam
Fanatieke Schildpad ;Jongverkenners;Wolven;Verkenners
Koala ;Wolven;Jongverkenners;Verkenners
Rayador;Jongverkenners;Jongverkenners;Verkenners
Spitsvogel ;Jongverkenners;Wolven;Verkenners
Argali ;Jongverkenners;Wolven;Welpen
Barry;Bevers;Bevers;Welpen
Bufo;Seniors;Welpen;Welpen
Coucal;Wolven;Jongverkenners;Welpen
Leipe Lijster ;Bevers;Wolven;Welpen
Meeuw;Jongverkenners;Bevers;Welpen
Motacilla ;Jongverkenners;Wolven;Welpen
Beermarter;Jongverkenners;Jongverkenners;Willekeurig
Labrador;Jongverkenners;Wolven;Willekeurig
Merel;Bevers;Bevers;Willekeurig
Nauwgezette Snoek;Seniors;Willekeurig;Willekeurig
Antilope;Jongverkenners;Jongverkenners;Wolven
Blijgeestige Panda;Jongverkenners;Verkenners;Wolven
Drongo;Seniors;Jongverkenners;Wolven
Hinde;Jongverkenners;Verkenners;Wolven
Pekari;Bevers;Jongverkenners;Wolven
wielewaal;Welpen;Jongverkenners;Wolven
ZALM;Jongverkenners;Verkenners;Wolven
